3.001459	2.922531
3.002426	2.922209
3.002426	2.921564
3.002426	2.919954
3.003070	2.920598
3.002104	2.917699
3.001137	2.917376
3.000171	2.918665
2.999204	2.921887
2.998560	2.922531
2.997916	2.923175
2.998560	2.924786
2.998238	2.923820
2.999204	2.924786
3.000493	2.922531
3.001459	2.921564
3.002426	2.922853
3.002426	2.918021
3.000815	2.919631
2.998238	2.920920
3.016923	2.927041
3.035930	2.935417
3.056226	2.946048
3.076844	2.958612
3.095851	2.966344
3.114536	2.977942
3.131289	2.992117
3.148363	3.010158
3.168015	3.021433
3.188955	3.032386
3.208928	3.042051
3.226647	3.054615
3.243077	3.074589
3.261440	3.090053
3.283347	3.103905
3.302354	3.114859
3.319751	3.132255
3.336503	3.153517
3.356476	3.169625
3.377095	3.182834
3.396746	3.194754
3.411565	3.210539
3.430895	3.228902
3.450546	3.244688
3.470520	3.258863
3.489205	3.272071
3.506602	3.290112
3.522710	3.307831
3.542039	3.326194
3.561691	3.341657
3.581664	3.355832
3.600994	3.370651
3.620001	3.382893
3.637398	3.401256
3.655116	3.415431
3.671869	3.437016
3.689265	3.456990
3.707306	3.475030
3.725669	3.493393
3.743388	3.511434
3.761106	3.529797
3.780114	3.549127
3.798154	3.566845
3.816840	3.583920
3.835847	3.602283
3.853566	3.620646
3.872895	3.635465
3.892547	3.654794
3.910587	3.670902
3.928950	3.689265
3.946991	3.705051
3.964066	3.725991
3.980818	3.745321
3.997892	3.764006
4.014967	3.781402
4.031719	3.801376
4.048471	3.821994
4.066190	3.840035
4.084553	3.855821
4.102594	3.872573
4.121923	3.889647
4.140286	3.906399
4.158005	3.924762
4.175723	3.944736
4.192153	3.965032
4.209872	3.983717
4.226624	4.004013
4.243054	4.020443
4.260129	4.039773
4.277203	4.058458
4.293955	4.077465
4.310063	4.093251
4.326816	4.111292
4.343568	4.129977
4.359998	4.147374
4.377072	4.167025
4.393502	4.184744
4.409932	4.202140
4.427007	4.220181
4.443759	4.236933
4.460511	4.254652
4.476619	4.271727
4.494016	4.289767
4.510446	4.305553
4.526876	4.321983
4.542984	4.337769
4.560058	4.356454
4.575844	4.371596
4.592596	4.388670
4.607093	4.403167
4.622557	4.422497
4.636732	4.440860
4.651229	4.458578
4.666049	4.479197
4.682801	4.494660
4.698909	4.511735
4.715017	4.527198
4.731447	4.542340
4.748521	4.558448
4.763340	4.571012
4.776871	4.588086
4.790724	4.606771
4.804577	4.624812
4.820685	4.642531
4.837115	4.657995
4.852901	4.672170
4.867720	4.686022
